City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hilo,19.7297,-155.09,24.04,91,75,3.09,US,1670300161
84,gizo,-8.103,156.8419,28.32,75,100,3.9,SB,1670300021
85,hobart,-42.8794,147.3294,16.26,59,75,8.23,AU,1670299970
86,yar-sale,66.8333,70.8333,-16.5,97,35,3.59,RU,1670300162
87,san luis,-33.295,-66.3356,26.07,24,62,4.31,AR,1670299893
88,bhatkal,13.9667,74.5667,28.12,58,78,2.26,IN,1670300163
89,grindavik,63.8424,-22.4338,1.26,86,0,1.54,IS,1670300163
90,nalut,30.3333,10.85,15.32,27,8,2.83,LY,1670300164
91,ashibetsu,43.5097,142.1856,-0.55,74,6,4.79,JP,1670300164
92,ocampo,21.65,-101.5,11.48,32,2,1.66,MX,1670300165
93,palmas,-10.2128,-48.3603,24.93,94,75,1.54,BR,1670300165
94,ulaanbaatar,47.9077,106.8832,-22.93,70,2,0.0,MN,1670300166
95,noumea,-22.2763,166.4572,29.99,86,100,4.07,NC,1670299662
96,yellowknife,62.456,-114.3525,-35.25,66,17,3.58,CA,1670299967
97,namatanai,-3.6667,152.4333,29.1,70,88,4.46,PG,1670300167
98,sainte-anne-des-monts,49.124,-66.4924,3.93,56,94,7.2,CA,1670300167
99,saint-philippe,-21.3585,55.7679,25.77,81,98,4.83,RE,1670300168
100,isangel,-19.55,169.2667,33.06,66,72,1.54,VU,1670300168
101,richards bay,-28.783,32.0377,19.72,79,99,4.01,ZA,1670300100
102,cape town,-33.9258,18.4232,19.1,71,19,2.68,ZA,1670300064
103,cherskiy,68.75,161.3,-22.04,91,100,2.17,RU,1670300169
104,xingcheng,40.6167,120.7167,1.51,21,0,7.19,CN,1670300170
105,busselton,-33.65,115.3333,23.19,37,0,4.15,AU,1670300170
106,aklavik,68.2191,-135.0107,-25.35,86,84,8.05,CA,1670300171
107,pisco,-13.7,-76.2167,18.34,82,0,1.54,PE,1670300172
108,maputo,-25.9653,32.5892,21.82,83,75,7.2,MZ,1670300172
109,dakar,14.6937,-17.4441,23.49,71,30,6.64,SN,1670300173
110,marsh harbour,26.5412,-77.0636,23.44,71,37,3.55,BS,1670300173
111,lewisporte,49.2499,-55.0482,-0.16,96,36,0.33,CA,1670300174
112,luganville,-15.5333,167.1667,29.81,59,81,3.16,VU,1670300174
113,shalinskoye,55.7228,93.7594,-14.9,75,100,5.57,RU,1670300175
114,port lincoln,-34.7333,135.8667,19.39,56,97,3.62,AU,1670300135
115,skibbereen,51.55,-9.2667,7.84,81,100,8.38,IE,1670300078
116,yabrud,33.9674,36.6574,4.83,82,5,0.94,SY,1670300176
117,lebu,-37.6167,-73.65,13.7,91,10,1.17,CL,1670300176
118,kloulklubed,7.0419,134.2556,28.28,75,100,6.57,PW,1670300177
119,palmer,42.1584,-72.3287,3.64,89,75,0.0,US,1670300178
120,chara,56.9064,118.2631,-15.9,75,99,2.3,RU,1670300178
121,taybad,34.74,60.7756,-1.8,71,16,1.85,IR,1670300178
122,acapulco,16.8634,-99.8901,25.9,89,0,1.03,MX,1670299967
123,arraial do cabo,-22.9661,-42.0278,23.13,90,100,10.05,BR,1670300179
124,boguchany,58.3814,97.4531,-13.43,94,100,5.37,RU,1670300180
125,pak thong chai,14.7226,102.0251,26.75,72,100,3.68,TH,1670300180
126,nha trang,12.25,109.1833,28.0,87,96,5.63,VN,1670300181
127,the valley,18.217,-63.0578,26.17,69,18,7.35,AI,1670299964
128,carnarvon,-24.8667,113.6333,23.67,62,20,7.67,AU,1670300181
129,bilma,18.6853,12.9164,20.17,23,58,2.92,NE,1670300182
130,vila franca do campo,37.7167,-25.4333,17.23,77,71,3.75,PT,1670300006
131,havoysund,70.9963,24.6622,3.13,73,100,10.41,NO,1670300183
132,santa rosa,14.3122,121.1114,31.17,70,87,5.81,PH,1670300183
133,kudahuvadhoo,2.6708,72.8944,26.8,77,86,3.33,MV,1670300184
134,boundiali,9.5217,-6.4869,22.8,48,53,0.99,CI,1670300169
135,narimanov,46.6927,47.8498,-12.05,61,3,3.18,RU,1670300184
136,longyearbyen,78.2186,15.6401,-15.09,56,40,5.14,SJ,1670299985
137,yulara,-25.2406,130.9889,40.92,8,27,7.88,AU,1670300185
138,ilulissat,69.2167,-51.1,3.01,44,20,10.29,GL,1670300011
139,kasongo-lunda,-6.4667,16.8167,19.96,97,95,0.19,CD,1670300186
140,provideniya,64.3833,-173.3,-0.91,80,100,10.0,RU,1670300187
141,vigrestad,58.5667,5.7,2.55,82,100,5.97,NO,1670300187
142,narsaq,60.9167,-46.05,6.12,75,99,4.65,GL,1670300187
143,yumen,40.2833,97.2,-6.6,79,100,0.89,CN,1670300188
144,hermanus,-34.4187,19.2345,12.67,71,30,2.07,ZA,1670300189
145,mae ramat,16.984,98.5166,30.18,56,20,2.22,TH,1670300189
146,alexandria,31.2156,29.9553,18.86,62,100,3.84,EG,1670300189
147,bambous virieux,-20.3428,57.7575,26.79,73,40,6.69,MU,1670300190
148,cabo san lucas,22.8909,-109.9124,25.84,73,67,4.68,MX,1670300000
149,kruisfontein,-34.0033,24.7314,13.82,73,100,2.3,ZA,1670300190
150,songea,-10.6833,35.65,18.68,63,71,1.84,TZ,1670300191
151,yokadouma,3.5167,15.05,20.27,87,84,0.19,CM,1670300191
152,torbay,47.6666,-52.7314,4.31,96,100,2.57,CA,1670300192
153,mattru,7.6244,-11.8332,23.14,96,34,0.5,SL,1670300192
154,guider,9.9342,13.9486,22.65,20,22,2.53,CM,1670300193
155,namibe,-15.1961,12.1522,19.92,81,75,1.86,AO,1670300193
156,bhachau,23.2833,70.35,23.57,32,0,5.85,IN,1670300193
157,shelburne,44.0787,-80.2041,3.25,60,100,4.01,CA,1670300194
158,upernavik,72.7868,-56.1549,-2.58,63,80,3.04,GL,1670300194
159,san cristobal,7.7669,-72.225,19.1,98,39,1.55,VE,1670300195
160,sao joao da barra,-21.6403,-41.0511,23.26,85,99,9.36,BR,1670300196
161,chuy,-33.6971,-53.4616,16.95,94,0,2.46,UY,1670300196
162,jardim,-21.4803,-56.1381,22.28,96,100,1.43,BR,1670300196
163,zhigansk,66.7697,123.3711,-35.34,100,94,2.62,RU,1670300092
164,grand gaube,-20.0064,57.6608,26.88,68,53,3.58,MU,1670300197
165,olavarria,-36.8927,-60.3225,24.78,27,22,5.99,AR,1670300198
166,lahat,-3.8,103.5333,25.23,89,99,0.16,ID,1670300198
167,mayo,38.8876,-76.5119,4.99,93,20,1.54,US,1670300198
168,strezhevoy,60.7333,77.5889,-13.76,96,100,3.48,RU,1670300199
169,bridlington,54.0831,-0.1919,3.62,64,100,5.14,GB,1670300199
170,lavrentiya,65.5833,-171.0,-1.35,97,100,14.61,RU,1670300200
171,juneau,58.3019,-134.4197,2.34,94,100,3.6,US,1670300055
172,sao filipe,14.8961,-24.4956,22.36,67,24,1.63,CV,1670300200
173,alice springs,-23.7,133.8833,39.75,7,2,6.69,AU,1670300055
174,kodiak,57.79,-152.4072,-0.27,93,0,1.54,US,1670300201
175,jamestown,42.097,-79.2353,6.77,42,100,5.14,US,1670300017
176,vardo,70.3705,31.1107,-1.01,86,40,8.75,NO,1670300201
177,aanekoski,62.6946,25.818,-2.4,12,100,4.74,FI,1670300202
178,tongliao,43.6125,122.2653,-4.6,28,19,7.67,CN,1670300202
179,amga,60.8953,131.9608,-24.45,96,100,0.85,RU,1670300203
180,goundam,16.4145,-3.6708,26.62,17,99,3.72,ML,1670300203
181,naqadeh,36.9553,45.388,1.33,78,71,0.66,IR,1670300204
182,bethel,41.3712,-73.414,4.41,82,20,0.0,US,1670299963
183,kirakira,-10.4544,161.9205,28.83,74,100,2.85,SB,1670300204
184,esmeraldas,-19.7625,-44.3139,19.48,91,100,1.86,BR,1670300013
185,nantucket,41.2835,-70.0995,8.41,81,0,4.63,US,1670300205
186,kaitangata,-46.2817,169.8464,13.09,54,22,6.1,NZ,1670300206
187,naron,43.5167,-8.1528,12.8,79,95,1.58,ES,1670300206
188,bosaso,11.2842,49.1816,23.62,70,35,1.29,SO,1670300207
189,fortuna,40.5982,-124.1573,6.31,95,100,0.0,US,1670299973
190,riyadh,24.6877,46.7219,19.08,44,4,4.22,SA,1670300154
191,mount gambier,-37.8333,140.7667,20.23,41,97,3.46,AU,1670300207
192,ormara,25.2088,64.6357,23.37,44,0,3.65,PK,1670300208
193,jeremie,18.65,-74.1167,24.89,78,37,5.96,HT,1670300208
194,ahipara,-35.1667,173.1667,17.14,91,100,3.13,NZ,1670300209
195,nome,64.5011,-165.4064,-0.96,93,100,13.38,US,1670300026
196,general pico,-35.6566,-63.7568,25.32,36,16,6.11,AR,1670300019
197,almeirim,-1.5233,-52.5817,22.32,94,98,1.26,BR,1670300210
198,maneadero,31.7167,-116.5667,13.94,78,40,2.24,MX,1670300210
199,norman wells,65.282,-126.8329,-27.98,76,20,7.2,CA,1670300211
200,daru,-9.0763,143.2092,30.07,61,78,5.04,PG,1670300211
201,faanui,-16.4833,-151.75,26.83,72,21,7.39,PF,1670300212
202,puerto ayora,-0.7393,-90.3518,20.86,92,24,2.68,EC,1670300212
203,hatillo,18.4863,-66.8254,27.4,80,10,2.68,PR,1670300212
204,kang,-23.6752,22.7876,19.85,16,38,1.75,BW,1670300213
205,hanyang,32.1371,105.5126,8.17,61,85,0.71,CN,1670300214
206,polewali,-3.4324,119.3435,30.49,63,100,2.13,ID,1670300214
207,novyy urgal,51.0736,132.5642,-15.03,78,100,2.81,RU,1670300214
208,chokurdakh,70.6333,147.9167,-40.75,100,43,1.04,RU,1670300215
209,temerloh,3.4483,102.4176,30.55,80,86,0.8,MY,1670300215
210,tilichiki,60.4667,166.1,-14.52,93,80,3.82,RU,1670300216
211,buzdyak,54.5833,54.55,-23.89,100,100,0.69,RU,1670300216
212,rio claro,-22.4114,-47.5614,20.1,91,100,2.92,BR,1670300217
213,kalmunai,7.4167,81.8167,26.79,77,100,4.76,LK,1670300217
